word,CDC2013,CDC2014,CDC2015,CDC2016,ICML2013,ICML2014,ICML2015,ICML2016
accuracy,9.827448291623814e-05,0.00011120565028150547,0.00012336770559344523,0.0001090517601418137,0.00045779999633760004,0.00030115830115830114,0.0003440913341920912,0.00028696099862427524
datasets,9.141812364301223e-06,5.172355827046766e-06,2.327692558366891e-05,1.856200172626616e-05,0.000430331996557344,0.00048648648648648646,0.0004234970266979584,0.0004304414979364128
sensor,0.0004090961033024797,0.0003517201962391801,0.0005190754405158167,0.000464050043156654,9.155999926752001e-06,7.722007722007722e-06,1.7645709445748267e-05,3.3760117485208846e-05
signal,0.00029939435493086505,0.0003336169508445164,0.0003607923465468681,0.0003596387834464069,0.000164807998681536,4.633204633204633e-05,0.00014116567556598614,0.00010128035245562654
control design,0.0006490686778653868,0.0003827543312014607,0.00037243080933870254,0.00038980203625158937,0,0,0,0
approximate,0.00013484173237344302,0.00014223978524378607,0.00013500616838527967,0.00013225426229964638,0.00021058799831529603,0.00037065637065637064,0.0003705598983607136,0.0002954010279955774
sparse,3.428179636612959e-05,7.758533740570149e-05,5.8192313959172273e-05,4.872525453144867e-05,0.000567671995458624,0.0003088803088803089,0.0003705598983607136,0.00032072111610948406
assumption,0.0001668380756484973,0.00020430805516834726,0.00019552617490281883,0.00019026051769422815,0.000283835997729312,0.00020849420849420848,0.00022939422279472747,0.00030384105736687965
effectiveness,0.0002422580276539824,0.0002715486809199552,0.0003538092688717674,0.00035035778258327377,0.00010987199912102401,0.00016216216216216215,0.00017645709445748267,0.00010972038182692876
domain,0.00010970174837161468,0.00012155036193559899,0.00012104001303507833,0.00011833276100494677,0.000494423996044608,0.00015444015444015445,0.0004058513172522101,0.00024476085176776413
applied,0.00030853616729516626,0.00022241130056301094,0.0002863061846791276,0.0002250642709309772,0.000201431998388544,0.00018532818532818532,0.0001058742566744896,0.00022788079302515972
online,0.00011427265455376528,0.00010861947236798209,0.00010474616512651008,0.00014617576359434603,0.00037539599699683204,0.0003938223938223938,0.0002558627869633499,0.0002616409105103686
communication,0.00033824705747914527,0.0004241331778178348,0.000384069272130537,0.00044548804143038784,9.155999926752001e-06,7.722007722007722e-06,8.822854722874133e-05,5.908020559911549e-05
state estimation,0.0003199634327505428,0.0004448226011260219,0.00045622774143991063,0.0005290170491985855,0,0,0,0
derive,0.00019426351274140098,0.00018620480977368358,0.0002048369451362864,0.00017401876618374526,0.00027467999780256004,0.0002702702702702703,0.00024703993224047574,0.00019412067553995087
numerical experiment,0.000164552622557422,0.00013448125150321592,0.0002048369451362864,0.00014849601381012928,0.00025636799794905604,0.000277992277992278,0.0003176227700234688,0.00020256070491125308
uncertainty,0.00041138155639355503,0.0003491340183256567,0.00031889388049626406,0.00032251477999387454,3.6623999707008004e-05,0.00016988416988416988,7.058283778299307e-05,2.5320088113906635e-05
prove,0.00017369443492172324,0.0002482730796982448,0.00014198924606038035,0.00017633901639952854,0.000164807998681536,0.00020077220077220078,0.00032644562474634295,0.00027008093988167077
